regime,policy,policy_class,tau,trusted_reference,clean_denominator,n_clean,false_hold,false_block,n_benign,benign_hold,benign_block,n_intervened,n_material,n_immaterial,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,residual_blind_material,decision_fpr,clean_false_action_rate,benign_hold_block_rate,benign_interruption_rate,nonmaterial_interruption_rate,safe_allow,containment,unsafe_allow_rate,coverage
I_X,serve_always,baseline (always serve),0.0,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,2617,0.0,0.0,0.0,0.0,0.0,16992,0.0,1.0,0.6265696347031964
I_X,serve_always,baseline (always serve),0.02,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,1319,0.0,0.0,0.0,0.0,0.0,20198,0.0,1.0,0.6530773277222515
I_X,serve_always,baseline (always serve),0.05,False,"12,000 disjoint clean evaluation draws",12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,444,0.0,0.0,0.0,0.0,0.0,22130,0.0,1.0,0.7625668449197861
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,False,"12,000 disjoint clean evaluation draws",12000,1500,0,1200,907,0,10800,7008,3792,4429,2579,0,1927,1865,2617,0.125,0.125,0.7558333333333334,0.7558333333333334,0.2514124293785311,12720,0.3680079908675799,0.63199200913242,0.6265696347031964
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,False,"12,000 disjoint clean evaluation draws",12000,1500,0,1200,907,0,10800,3802,6998,2128,1674,0,4228,2770,1319,0.125,0.125,0.7558333333333334,0.7558333333333334,0.2563125061887316,15021,0.4402945817990531,0.5597054182009469,0.6530773277222515
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,False,"12,000 disjoint clean evaluation draws",12000,1500,0,1200,907,0,10800,1870,8930,652,1218,0,5704,3226,444,0.125,0.125,0.7558333333333334,0.7558333333333334,0.2545413465883416,16497,0.651336898395722,0.34866310160427805,0.7625668449197861
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,False,"12,000 disjoint clean evaluation draws",12000,672,0,1200,654,0,10800,7008,3792,4496,2512,0,1942,1850,2617,0.056,0.056,0.545,0.545,0.1869114877589454,13816,0.3584474885844749,0.6415525114155252,0.6265696347031964
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,False,"12,000 disjoint clean evaluation draws",12000,672,0,1200,654,0,10800,3802,6998,2174,1628,0,4264,2734,1319,0.056,0.056,0.545,0.545,0.20101000099019706,16138,0.4281956864807996,0.5718043135192005,0.6530773277222515
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,False,"12,000 disjoint clean evaluation draws",12000,672,0,1200,654,0,10800,1870,8930,680,1190,0,5758,3172,444,0.056,0.056,0.545,0.545,0.20325350203343878,17632,0.6363636363636364,0.36363636363636365,0.7625668449197861
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,False,"12,000 disjoint clean evaluation draws",12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,2617,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.6265696347031964
